players_name,batting_style,bowling_style,country,primary_role,is_caption,is_opener,is_finisher,is_death_bowler,legacy_teams_tag,player_status_tag,total_matchs_played,cap_winner,award_winner,is_man_of_the_match
Odean Smith,right-hand,pace,Overseas,all-rounder,false,false,true,true,KKR,active,19,,false,false
Pahalwa Gurpreet,right-hand,,Indian,batsman,false,true,false,false,PBKS,retired,1,,false,false
Panchal Priyank,right-hand,offbreak,Indian,batsman,false,true,false,false,GT,retired,1,,false,false
Parag Riyan,right-hand,legbreak,Indian,batsman,false,false,true,false,GT,active,31,,true,true
Parimel Azhagan,right-hand,,Indian,bowler,false,false,false,false,CSK,retired,1,,false,false
Parth Joshi,right-hand,offbreak,Indian,bowler,false,false,false,false,RCB,retired,1,,false,false
Pardeep Sahu,right-hand,,Indian,batsman,false,true,false,false,RR,retired,2,,false,false
Parth Baman,right-hand,,Indian,batsman,false,true,false,false,MI,retired,1,,false,false
Parth Jani,right-hand,,Indian,batsman,false,true,false,false,GT,retired,1,,false,false
Parthiv Patel,left-hand,,Indian,wk,true,true,false,false,RCB,retired,130,,true,true
Pawan Negi,left-hand,left-arm spin,Indian,all-rounder,false,false,false,false,DD,retired,29,,false,false
Pawan Suyal,left-hand,left-arm pace,Indian,bowler,false,false,false,false,DD,retired,4,,false,false
Pradeep Sangwan,right-hand,pace,Indian,bowler,false,false,false,true,DD,retired,14,,false,false
Pragyan Ojha,left-hand,left-arm spin,Indian,bowler,false,false,false,false,MI,retired,116,,true,true
Prakhar Chaturvedi,right-hand,,Indian,batsman,false,true,false,false,RCB,active,2,,false,false
Prashant Chopra,right-hand,,Indian,batsman,false,true,false,false,KXIP,retired,2,,false,false
Prashant Kanbai,right-hand,,Indian,batsman,false,true,false,false,CSK,retired,1,,false,false
Prasidh Krishna,right-hand,pace,Indian,bowler,false,false,false,true,RR,active,26,,false,false
Pravin Tambe,right-hand,legbreak,Indian,bowler,false,false,false,false,RR,retired,29,,false,false
Prem Srivastav,right-hand,left-arm spin,Indian,bowler,false,false,false,false,RR,retired,3,,false,false
Preston Jackson,right-hand,,Overseas,batsman,false,true,false,false,RCB,retired,1,,false,false
Prithvi Raj Yarra,right-hand,left-arm spin,Indian,bowler,false,false,false,false,SRH,retired,1,,false,false
Pritesh Pawar,right-hand,,Indian,batsman,false,true,false,false,MI,retired,1,,false,false
Pryank Panchal,right-hand,offbreak,Indian,batsman,false,true,false,false,GT,retired,1,,false,false
Pujarasubramaniam,right-hand,,Indian,batsman,false,true,false,false,RCB,retired,1,,false,false
Punit Goyal,right-hand,,Indian,batsman,false,true,false,false,RR,retired,1,,false,false
Punit Jaiswal,right-hand,,Indian,batsman,false,true,false,false,RR,retired,1,,false,false
Purv Shah,right-hand,,Indian,batsman,false,true,false,false,GT,retired,1,,false,false
Qamran Iqbal,right-hand,,Indian,batsman,false,true,false,false,RR,retired,1,,false,false
Rachin Ravindra,left-hand,left-arm spin,Overseas,all-rounder,false,true,false,false,CSK,active,12,,true,true
Rahul Chahar,right-hand,legbreak,Indian,bowler,false,false,false,false,PBKS,active,42,,false,false
Rahul Sharma,right-hand,legbreak,Indian,bowler,false,false,false,false,MI,retired,104,,false,false
Rahul Shukla,right-hand,pace,Indian,bowler,false,false,false,false,RR,retired,1,,false,false
Rahul Tripathi,right-hand,offbreak,Indian,batsman,false,true,false,false,SRH,active,79,,true,true
Raj Angad Bawa,right-hand,left-arm pace,Indian,all-rounder,false,false,true,true,CSK,active,3,,false,false
Rajat Patidar,right-hand,legbreak,Indian,batsman,false,true,false,false,RCB,active,26,,true,true
Rajeev Tyagi,right-hand,pace,Indian,bowler,false,false,false,false,RR,retired,1,,false,false
Rajesh Advani,right-hand,,Indian,batsman,false,true,false,false,MI,retired,1,,false,false
Rajesh Pawar,right-hand,left-arm spin,Indian,bowler,false,false,false,false,DC,retired,1,,false,false
Rakesh Sharma,right-hand,legbreak,Indian,bowler,false,false,false,false,RR,retired,1,,false,false
Rakesh Solanki,right-hand,legbreak,Indian,bowler,false,false,false,false,RR,retired,1,,false,false
Raman Suri,right-hand,,Indian,batsman,false,true,false,false,DC,retired,1,,false,false
Ramesh Kumar,right-hand,,Indian,batsman,false,true,false,false,RCB,retired,1,,false,false
Ramandeep Singh,right-hand,pace,Indian,all-rounder,false,false,true,true,KKR,active,14,,false,false
Rampaul Ravi,right-hand,pace,Overseas,bowler,false,false,false,true,RCB,retired,20,,false,false
Rana Dinesh,left-hand,offbreak,Indian,batsman,false,true,false,false,KKR,active,104,,true,true
Rana Naved-ul-Hasan,right-hand,pace,Overseas,all-rounder,false,false,false,true,RR,retired,11,,false,false
Ranganath V,right-hand,,Indian,batsman,false,true,false,false,RCB,retired,1,,false,false
Ranjith Yadav,left-hand,left-arm spin,Indian,bowler,false,false,false,false,RCB,retired,1,,false,false
Rao Inderpreet Singh,right-hand,pace,Indian,bowler,false,false,false,false,MI,retired,1,,false,false
Rashid Khan,right-hand,legbreak,Overseas,bowler,false,false,false,true,GT,active,134,purple,true,true
R Ashwin,left-hand,offbreak,Indian,bowler,true,false,false,false,CSK,active,226,,true,true
Ravi Bishnoi,right-hand,legbreak,Indian,bowler,false,false,false,false,LSG,active,40,,true,true
Ravi Rampaul,right-hand,pace,Overseas,bowler,false,false,false,true,RCB,retired,20,,false,false
Ravichandran Ashwin,left-hand,offbreak,Indian,bowler,true,false,false,false,CSK,active,226,,true,true
Ravindra Jadeja,left-hand,spin,Indian,all-rounder,true,false,true,false,CSK,active,226,,true,true
Siddarth Kaul,right-hand,pace,Indian,bowler,false,false,false,true,DD,retired,100,,false,false
Simarjeet Singh,right-hand,pace,Indian,bowler,false,false,false,true,DC,active,20,,false,false
Shivam Dube,right-hand,legbreak,Indian,all-rounder,false,false,true,false,CSK,active,48,,true,true
Shivam Mavi,right-hand,pace,Indian,bowler,false,false,false,true,CSK,active,18,,false,false
Shivam Sharma,left-hand,left-arm spin,Indian,bowler,false,false,false,false,GT,active,14,,false,false
Sherfane Rutherford,left-hand,,Overseas,batsman,false,false,true,false,KKR,active,5,,false,false
Sikandar Raza,right-hand,offbreak,Overseas,all-rounder,false,false,true,false,PBKS,active,10,,false,false
Sirajul Islam,left-hand,offbreak,Overseas,bowler,false,false,false,false,SRH,retired,2,,false,false
Soumya Sarkar,right-hand,offbreak,Overseas,batsman,false,true,false,false,MI,retired,14,,false,false
Sreenath Aravind,right-hand,pace,Indian,bowler,false,false,false,false,CSK,retired,8,,false,false
Srijit Mandal,left-hand,left-arm spin,Indian,bowler,false,false,false,false,LSG,active,7,,false,false
Sudhesh Sharma,right-hand,legbreak,Indian,bowler,false,false,false,false,MI,active,1,,false,false
Sujith Somasundaram,right-hand,offbreak,Indian,batsman,false,true,false,false,SRH,retired,5,,false,false
Sunny Nijjar,right-hand,pace,Indian,bowler,false,false,false,false,MI,retired,1,,false,false
Sunil Narine,left-hand,offbreak,Overseas,bowler,false,false,false,true,KKR,active,182,purple,true,true
Suryakumar Yadav,right-hand,offbreak,Indian,batsman,false,true,true,false,MI,active,106,,true,true
Swaya Da Costa,right-hand,,Overseas,batsman,false,true,false,false,KKR,active,1,,false,false
Syed Mushtaq Ali,right-hand,offbreak,Overseas,all-rounder,false,false,false,false,DC,retired,1,,false,false
Syracuse De Silva,right-hand,legbreak,Overseas,bowler,false,false,false,false,KKR,retired,1,,false,false
T Ravi Teja,right-hand,pace,Indian,all-rounder,false,false,true,false,CSK,active,16,,false,false
Talha Jubair,right-hand,pace,Overseas,bowler,false,false,false,true,CSK,retired,1,,false,false
Tamil Nadu Veeraraghavan,right-hand,,Indian,batsman,false,true,false,false,RCB,retired,1,,false,false
Tejas Baroka,right-hand,legbreak,Indian,bowler,false,false,false,false,DC,retired,4,,false,false
Tevin Iyer,left-hand,offbreak,Overseas,batsman,false,true,false,false,RCB,retired,1,,false,false
Thisara Perera,left-hand,offbreak,Overseas,all-rounder,false,false,true,true,CSK,retired,60,,true,true
T Natarajan,left-hand,pace,Indian,bowler,false,false,false,true,SRH,active,59,,true,true
Tejashwi Yadav,right-hand,pace,Indian,all-rounder,false,false,true,true,RCB,active,14,,false,false
Tim David,right-hand,,Overseas,batsman,false,false,true,false,MI,active,45,,true,true
Tim Seifert,right-hand,pace,Overseas,wk,false,false,false,false,KKR,active,16,,false,false
Tiwari Madhav,right-hand,offbreak,Indian,batsman,false,true,false,false,DC,active,5,,false,false
Tymal Mills,right-hand,pace,Overseas,bowler,false,false,false,true,DC,retired,14,,false,false
Umair Khan,right-hand,pace,Indian,bowler,false,false,false,false,CSK,retired,1,,false,false
Umran Malik,right-hand,pace,Overseas,bowler,false,false,false,true,SRH,active,43,,false,false
Unadkat Jaydev,right-hand,pace,Indian,bowler,false,false,false,true,SRH,active,83,,false,false
Venkatesh Iyer,right-hand,legbreak,Indian,batsman,false,true,false,false,RR,active,66,,true,true
Vijay Shankar,right-hand,offbreak,Indian,all-rounder,false,false,true,false,SRH,active,84,,true,true
Vinay Kumar,right-hand,pace,Indian,bowler,false,false,false,true,RCB,retired,123,,true,true
Vinoo Mankad,right-hand,offbreak,Indian,all-rounder,true,true,false,false,CSK,retired,1,,false,false
Vishnu Vinod,right-hand,offbreak,Indian,wk,false,false,true,false,PBKS,active,15,,false,false
Washington Sundar,right-hand,offbreak,Indian,all-rounder,false,false,false,false,SRH,active,76,,true,true
Wayne Parnell,right-hand,pace,Overseas,all-rounder,false,false,false,true,RCB,retired,12,,false,false
Yashasvi Jaiswal,left-hand,,Indian,batsman,false,true,false,false,RR,active,59,,true,true
Yash Dayal,left-hand,pace,Indian,bowler,false,false,false,true,RCB,active,29,,false,false
Yash Thakur,right-hand,pace,Indian,bowler,false,false,false,true,PBKS,active,34,,false,false
Yudhvir Singh Charak,right-hand,pace,Overseas,bowler,false,false,false,true,RR,active,16,,false,false
Zac Morris,right-hand,pace,Overseas,bowler,false,false,false,true,DC,retired,1,,false,false
Zafar Ansari,right-hand,offbreak,Overseas,all-rounder,false,false,false,false,CSK,retired,11,,false,false
Zishan Ansari,left-hand,legbreak,Overseas,bowler,false,false,false,false,CSK,active,14,,false,false
Zulfiqar Babar,right-hand,offbreak,Overseas,bowler,false,false,false,false,MI,retired,3,,false,false
Zaheer Khan,right-hand,pace,Indian,bowler,true,false,false,true,MI,retired,121,purple,true,true
Vaibhav Suryavanshi,left-hand,,Indian,batsman,false,true,false,false,RR,active,12,,false,false
robin Minz,left-hand,spin,Indian,wk,false,false,false,false,MI,active,4,,false,false

